n,pre.feed.weight,post.feed.weight,mass.blood,time.spent.feeding,pronotum.size,number.of.eggs,Residuals  of  fecundity against blood meal,Residuals  of blood meal against time spent feeding 
1,3.92,not fed,0,0,1.537,0,0,0
2,3.89,not fed,0,0,1.539,0,0,0
3,4.99,not fed,0,0,1.612,0,0,0
4,5,not fed,0,0,1.659,0,0,0
5,2.57,not fed,0,0,1.468,0,0,0
6,2.46,3.35,0.89,45,1.523,0,-1.12407,-0.41005
7,3.26,4.21,0.95,45,1.554,0,-1.19985,-0.35005
8,2.64,2.73,0.09,45,1.451,0,-0.11367,-1.21005
9,5.46,5.73,0.27,45,1.618,1,0.65899,-1.03005
10,4.37,6.08,1.71,45,1.581,2,-0.15973,0.40995
11,3.07,4.19,1.12,90,1.489,1,-0.41456,-1.4801
12,2.51,3.64,1.13,90,1.466,0,-1.42719,-1.4701
13,5.4,6.14,0.74,90,1.652,4,3.06538,-1.8601
14,5.4,9.1,3.7,90,1.605,7,2.3269,1.0999
15,4.84,8,3.16,90,1.622,4,0.00892,0.5599
16,4.24,8.42,4.18,120,1.515,7,1.72066,0.7132
17,3.25,4.32,1.07,120,1.506,0,-1.35141,-2.3968
18,4.27,7.05,2.78,120,1.57,5,1.48886,-0.6868
19,3.34,6.93,3.59,120,1.511,4,-0.53417,0.1232
20,4.16,5.3,1.14,120,1.514,2,0.56018,-2.3268
21,5.03,9.68,4.65,150,1.59,8,2.12705,0.3165
22,3.54,8.33,4.79,150,1.585,7,0.95023,0.4565
23,3.48,8.9,5.42,150,1.535,6,-0.84546,1.0865
24,3.88,9.69,5.81,150,1.516,7,-0.33803,1.4765
25,5.86,12.38,6.52,150,1.691,11,2.76524,2.1865
26,3.08,8.43,5.35,180,1.554,6,-0.75705,0.1498
27,4.14,11.25,7.11,180,1.51,10,1.02007,1.9098
28,4.72,11.55,6.83,180,1.533,10,1.37371,1.6298
29,5.87,13.55,7.68,180,1.649,16,6.30016,2.4798
30,4.44,11.78,7.34,180,1.6,11,1.72958,2.1398
31,4.66,6.27,1.61,210,1.572,3,0.96657,-4.4569
32,4.73,9.44,4.71,210,1.588,9,3.05127,-1.3569
33,5.27,12.13,6.86,210,1.599,11,2.33582,0.7931
34,3.26,5.46,2.2,210,1.5,3,0.2214,-3.8669
35,4.6,10.4,5.8,210,1.577,7,-0.3254,-0.2669
36,5.04,13.17,8.13,240,1.618,13,2.73181,1.1964
37,3.67,6.81,3.14,240,1.483,4,0.03418,-3.7936
38,4.52,10.48,5.96,240,1.587,9,1.47252,-0.9736
39,5.52,7.42,1.9,240,1.652,5,2.6003,-5.0336
40,3.65,13.46,9.81,240,1.512,13,0.60997,2.8764
41,5.99,17.16,11.17,300,1.642,17,2.89229,2.503
42,4.4,14.66,10.26,300,1.59,0,-12.95838,1.593
43,3.83,14.36,10.53,300,1.542,14,0.70061,1.863
44,3.88,13.63,9.75,300,1.593,11,-1.31425,1.083
45,3.54,13.86,10.32,300,1.513,11,-2.03416,1.653
46,4.52,12.43,7.91,330,1.552,13,3.00967,-1.6237
47,4.25,14.98,10.73,330,1.571,12,-1.55199,1.1963
48,2.98,7.56,4.58,330,1.538,5,-0.78454,-4.9537
49,6.07,17.06,10.99,330,1.649,17,3.11963,1.4563
50,3.56,10.99,7.43,330,1.539,8,-1.38409,-2.1037
51,3.9,14.4,10.5,364,1.515,16,2.7385,-0.01596
52,4.43,16.81,12.38,390,1.553,16,0.36406,1.1129
53,4.11,16.34,12.23,460,1.564,13,-2.44649,-1.0594
54,4.3,16.09,11.79,384,1.57,15,0.10923,0.69624
55,4.62,17.01,12.39,478,1.593,19,3.35143,-1.41942